rank,name,points,division
265,Emmanuelle GARCIA,2,WOMEN
265,Duconseille Aurélie,2,WOMEN
265,Thoreux Fabienne,2,WOMEN
265,Cohen Keren,2,WOMEN
265,Cohen Elinor,2,WOMEN
265,Celine Girodet,2,WOMEN
265,Vacher Louise,2,WOMEN
265,Elodie Jacobée,2,WOMEN
282,Mansour Roxane,1,WOMEN
282,Grace Jennilou,1,WOMEN
282,Piat Caroline,1,WOMEN
282,doris storm,1,WOMEN
282,Ronchi Stierli Claudia,1,WOMEN
282,Corroy Annick,1,WOMEN
282,Martial Séverine,1,WOMEN
289,Amade Shaakera,0,WOMEN
289,Gouws Rene,0,WOMEN
289,Ariane HERVE,0,WOMEN
289,Grieshofer Uli,0,WOMEN
289,Lazare Lee,0,WOMEN
289,Madeira Pamela,0,WOMEN
289,van der westhuizen valerie,0,WOMEN
289,Tixier Astrid,0,WOMEN
289,Taikie Emma,0,WOMEN
289,Fiori Adriana,0,WOMEN
289,Anne sophie Descroizilles,0,WOMEN
289,Lagesse Agnes,0,WOMEN
289,Hau Nienke,0,WOMEN
289,Halbwachs Gabrielle,0,WOMEN
289,SAGOT Agnès,0,WOMEN
289,Viri Annamaria,0,WOMEN
289,Monteil Morgane,0,WOMEN
289,Sacha Grosperrin,0,WOMEN
289,BUNTING CAROLINE,0,WOMEN
289,Provost-Fleury Aglaë,0,WOMEN
289,Modeste Priscilla,0,WOMEN
289,Demaire Marie,0,WOMEN
289,Mamet Rachel,0,WOMEN
289,MARTIN Melissa,0,WOMEN
289,Vanessa Leclezio,0,WOMEN
289,PHAYSOUPHANH Tiffany,0,WOMEN
289,Van Poucke Nicki,0,WOMEN
289,Wason Garima Anmol,0,WOMEN
289,Kritzinger Yvonne,0,WOMEN
289,Caroline DORNE,0,WOMEN
289,Lescroart Amelie,0,WOMEN
289,Topsent Christelle,0,WOMEN
289,van Wyk Gabriella,0,WOMEN
289,Menteath Jadene,0,WOMEN
289,Eilerd Jolene,0,WOMEN
289,Kerstin Mikloweit,0,WOMEN
289,segers megan,0,WOMEN
289,Steenkamp Natasha,0,WOMEN
289,Freidin Hayley,0,WOMEN
289,BOUDRY Dalilah,0,WOMEN
289,Doger de Speville Ingrid,0,WOMEN
289,Mauvis Natasha,0,WOMEN
289,Hitie Laura,0,WOMEN
289,Dembovsky Liesl,0,WOMEN
289,Shah Shalu,0,WOMEN
289,Gasco Deborah,0,WOMEN
289,von Hoesslin Joani,0,WOMEN
289,LEPPICH Dolores,0,WOMEN
289,GRAFFEILLE Candice,0,WOMEN
289,Meiring Cora,0,WOMEN
289,De Melo Lea,0,WOMEN
289,Dabrowski Annique,0,WOMEN
289,Dewulf Tania,0,WOMEN
289,Sedova Ekaterina,0,WOMEN
289,Close Vanessa (Vee),0,WOMEN
289,Reznikova Olga,0,WOMEN
289,d’Arifat Beatrice,0,WOMEN
289,Havenga Elaine,0,WOMEN
289,Wilson Chanine,0,WOMEN
289,Grieshofer Valerie,0,WOMEN
289,TYACK JULIE,0,WOMEN
289,Lane Eszter,0,WOMEN
289,Roussel Vanessa,0,WOMEN
289,Yeadon Anastasia,0,WOMEN
289,Peel Rene,0,WOMEN
289,Ridzuan Nadia,0,WOMEN
289,Waters Fiona,0,WOMEN
289,Nathalie Le toullec,0,WOMEN
289,Coralie Grimal,0,WOMEN
289,lallyett Roxanne,0,WOMEN
289,Shevchenko Olga,0,WOMEN
289,Piminova Stanislava,0,WOMEN
289,Achard Berenice,0,WOMEN
289,swart ilse,0,WOMEN
289,Swanepoel Catherine,0,WOMEN
289,Gray Terrie-Lee,0,WOMEN
289,Lagesse Selena,0,WOMEN
289,Saffy Natlee,0,WOMEN
289,Dodge Katie,0,WOMEN
289,Guilbert Elizabeth,0,WOMEN
289,Harel Pascale,0,WOMEN
289,Victoria Bouic,0,WOMEN
289,Raffray Catherine,0,WOMEN
289,Rossi Chloë,0,WOMEN
289,Elkin Jocelyn,0,WOMEN
289,Doger de Spéville Joséphine,0,WOMEN
289,Richardson Jenny,0,WOMEN
289,Romane Maurel,0,WOMEN
289,Martin Amélie,0,WOMEN
289,Lamour Marie France,0,WOMEN
289,Jessie Gabillon,0,WOMEN
